id,studentid,jobid,action,content
125,2015012805,3,END_READING,TIMESTAMP=1449756245083	USER=2015012805	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=4
126,2015012805,3,RELEVANCE_ANNOTATION,TIMESTAMP=1449756248610	USER=2015012805	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=2
127,2015012805,3,TIME_ESTIMATION,TIMESTAMP=1449756304977	USER=2015012805	JOBID=3	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=387_593_955_
128,2015012805,3,RELATIVE_ESTIMATION,TIMESTAMP=1449756404626	USER=2015012805	JOBID=3	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_14_17_8_10_14_17_1_2_37_46 Relative=91_51_92_7_
129,2015012805,3,OUTCOME,"TIMESTAMP=1449756732967	USER=2015012805	JOBID=3	DOCID=0	ACTION=OUTCOME	INFO:answer=Ivy League is consisted of eight universities,and seven of them were colonial,IV may have a meaning of roman number 4,and it's an athelic conference.Almost all universities rank high and are famous in the world,including Haward University,and many students dream of studying there."
130,2015012805,4,BEGIN_READING,TIMESTAMP=1449756766450	USER=2015012805	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
131,2015012805,4,BEGIN_READING,TIMESTAMP=1449758139040	USER=2015012805	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
132,2015012805,4,END_READING,TIMESTAMP=1449758320332	USER=2015012805	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=1
133,2015012805,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449758323507	USER=2015012805	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
134,2015012805,4,BEGIN_READING,TIMESTAMP=1449758324980	USER=2015012805	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
135,2015012805,4,END_READING,TIMESTAMP=1449758472315	USER=2015012805	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=2
136,2015012805,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449758482507	USER=2015012805	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=0
